1,Chickenpox,98,235,86,"26,680","24,412","32,611",-,3,-,2,-,-,13,5,1,..,:,:,7,111,21,53,96,30,13,5,8,...,...,12,...,...,2,10,15,17,1
2,Diphtheria,2,-,1,62,68,91,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,18,11,11,435,432,432,-,-,-,-,-,-,-,-,-,2,2,...,...,3,1,2,-,2,3,-,-,2,-,-,3,-,-,6,6,6,3
4,(a) Amoebic,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,...,...,,.A,...,N.A.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Pacillary,18,11,11,435,430,430,-,-,-,-,-,-,-,-,-,2,2,...,.R,3,1,2,-,2,3,-,-,2,-,-,3,-,-,6.,6,6,5
6,Encephalitis, infectious,2,2,2,17,18,23,-,-,-,a.e,A.A,a.e,-,-,-,-,-,-,.A,2,...,a.e.,.A,R.O.,-,-,-,2,-,1,-,-,-,-,-,-,6
7,Influenza, epidemic,126,55,59,"8,805","36,652","9,049",R.P.,...,R.,,39,9,9..9,86,43,28,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,A.R.,...,A.A,-,1,-,7
8,Measles 152,125,246,121,"41,208","43,678","47,337",2,-,1,1,-,1,17,13,6,....,...,1,,52,40,60,156,28,5,9,11,A.T.,9.9.,7,10,7,16,30,9,16,8
9,Meningitis, meningococcal,31,2,3,229,209,189,1,2,-,P.R,...,...,-,-,-,-,-,-,,-,-,3,-,-,-,-,-,-,-,-,...,...,...,-,-,1,9
10,Mumps,96,127,98,"21,647","19,928","28,321",-,-,-,-,-,-,6,12,1,...,,....,3,14,20,67,60,62,5,9,11,...,9.A,6,..,....,2,15,32,15,10
11,Poliomyelitis, epidemic:4,31,26,203,245,599,"1,261",-,-,1,-,-,3,-,-,8,1,3,4,7,7,19,7,10,61,-,2,4,1,-,18,9,2,12,6,2,11,11
12,(a) With paralysis,15,17,83,134,318,513,-,-,1,-,-,1,-,-,5,-,1,-,7,5,7,5.,6,23,-,2,3,(6),-,4,3,1,1,-,2,6,12
13,(b) Without paralysis,15,7,101,91,227,695,-,-,-,-,-,-,-,-,-,1,2,4,-,-,4,2,4,38,-,-,1,(6),-,4.,6,1,3,6,-,5,13
14,Rubella,103,73,37,"49,134","17,409","9,035",1,1,-,:.,:.,:,3,2,1,:.,:.,:,1,25,5,74,25,12,4,-,-,:.,1,1,8,6,7,12,13,9,14
15,Scarlet fever, etc.⁵,83,77,60,"8,877","6,422","9,419",1,-,-,31,3,2,32,35,8,1,1,-,6,7,20,8,19,11,2,-,5,-,3,6,-,6,8,2,3,6,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,184,213,175,"6,218","6,543","7,110",11,6,1,-,1,1,8,-,1,9,7,10,87,58,68,17,56,11,6,40,12,13,11,6,11,18,17,22,16,21,17
18,(a) Pulmonary,154,142,156,"5,039","5,356","5,717",11,6,1,-,1,-,7,-,1,9,5,9,86,56,66,(6),(6),(6),5,38,12,8,8,6,11,13,14,17,15,20,18
19,(b) Non-pulmonary,13,15,10,390,419,365,-,-,-,-,-,-,1,-,-,I,2,-,1,2,2,(6),(6),(6),1,2,-,5,3,-,9.8,5,9.9,5.,1,3,19
20,Typhoid and paratyphoid,7,14,10,287,232,314,-,-,-,-,-,I,-,-,I,-,-,-,5,10,5,2,4,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,4,2,103,90,90,-,-,-,-,-,-,-,-,-,...,...,...,P.A,2,1,-,1,1,-,1,-,-,-,-,R.A.,...,..,-,-,-,21
22,Venereal diseases:,365,378,333,"10,929","11,395","11,963",10,4,9,3,-,-,6,8,11,3,5,3,64,78,88,49,47,59,28,25,29,27,25,23,79,73,55,96,113,51,22
23,(a) Syphilis, primary,-,2,4,66,75,145,-,-,1,I,I,-,-,-,1,I,1,-,-,-,1,-,-,1,-,1,1,-,-,I,I:,-,1,E,1,1,23
24,(b) : secondary,1,1,3,30,32,78,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,24
25,(c) other,37,28,36,"1,231","1,613","1,778",-,1,2,-,-,-,3,-,2,-,-,1,19,14,9,3,8,11,2,1,1,1,-,1,2,-,1,7,4,4,25
26,(d) Gonorrhoea,327,347,289,"9,599","9,660","9,753",10,3,6,3,-,-,3,8,8,3,5,2,45,63,68,46,39,45,26,23,27,26,25,21,76,73,52,89,108,42,26
27,(e) Other venereal diseases⁷,-,-,-,3,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,137,130,211,"5,636","9,088","5,572",-,-,-,9.,1,-,3,-,2,-,-,-,34,61,69,25,14,70,8,6,9,13,5,13,6,3,17,39,40,11,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
