Row,Measles,Meningitis
1,1574.0,4.0
2,1634.0,15.0
3,1332.0,11.0
4,1779.0,11.0
5,1717.0,3.0
6,1795.0,2.0
7,1676.0,7.0
8,1947.0,9.0
9,1852.0,7.0
10,1697.0,5.0
11,1323.0,7.0
12,1321.0,3.0
13,1388.0,10.0
14,1195.0,3.0
15,1077.0,9.0
16,1290.0,5.0
17,1317.0,3.0
18,1348.0,6.0
19,1388.0,8.0
20,1458.0,8.0
21,1659.0,6.0
22,1285.0,7.0
23,1390.0,6.0
24,1377.0,2.0
25,1137.0,8.0
26,698.0,4.0
27,1.0,4
28,4.0,1
29,552.0,1.0
30,396.0,4.0
31,247.0,7.0
32,,
33,204.0,5.0
34,246.0,2.0
35,125.0,31.0
36,310.0,6.0
37,192.0,6.0
38,235.0,4.0
39,343.0,4.0
40,222.0,6.0
41,343.0,5.0
42,767.0,6.0
43,522.0,7.0
44,724.0,5.0
45,687.0,4.0
46,827.0,1.0
47,907.0,5.0
48,1283.0,5.0
49,1251.0,2.0
50,1284.0,5.0
51,806.0,2.0
52,884.0,4.0
53,1126.0,2.0
54,1830.0,11.0
55,1678.0,2.0
56,1765.0,3.0
57,1872.0,5.0
58,1832.0,9.0
59,,8
60,1625.0,8.0
61,1730.0,10.0
62,1981.0,8.0
63,1582.0,5.0
64,2102.0,4.0
65,2183.0,3.0
66,1878.0,11.0
67,1020.0,5.0
68,1504.0,5.0
69,1655.0,7.0
70,1614.0,5.0
71,840.0,5.0
72,,12.0
73,873.0,9.0
74,900.0,8.0
75,1292.0,7.0
76,1115.0,6.0
77,1254.0,5.0
78,598.0,8.0
79,534.0,3.0
80,541.0,3.0
81,435.0,4.0
82,300.0,2.0
83,319.0,8.0
84,192.0,11.0
85,245.0,5.0
86,178.0,10.0
87,94.0,5.0
88,172.0,6.0
89,117.0,4.0
90,198.0,8.0
91,185.0,9.0
92,,9.0
93,151.0,7.0
94,130.0,6.0
95,100.0,9.0
96,130.0,2.0
97,170.0,3.0
98,196.0,9.0
99,394.0,6.0
100,,6
101,385.0,4.0
102,285.0,7.0
103,211.0,5.0
104,,5
105,312.0,1.0
106,592.0,10.0
107,466.0,11.0
108,391.0,16.0
109,574.0,5.0
110,771.0,14.0
111,822.0,5.0
112,677.0,6.0
113,618.0,7.0
114,576.0,4.0
115,691.0,6.0
116,753.0,2.0
117,665.0,4.0
118,494.0,7.0
119,695.0,11.0
120,935.0,8.0
121,1068.0,4.0
122,819.0,4.0
123,1026.0,7.0
124,773.0,2.0
125,1065.0,5.0
126,1095.0,5.0
127,1112.0,3.0
128,1158.0,6.0
129,1056.0,4.0
130,869.0,8.0
131,778.0,4.0
132,708.0,2.0
133,508.0,3.0
134,346.0,6.0
135,,7.0
136,310.0,6.0
137,200.0,7.0
138,,6.0
139,162.0,3.0
140,125.0,4.0
141,549.0,2.0
142,262.0,10.0
143,14.0,6.0
144,281.0,3.0
145,321.0,4.0
146,491.0,4.0
147,496.0,3.0
148,645.0,6.0
149,661.0,8.0
150,,8.0
151,849.0,4.0
152,867.0,5.0
153,965.0,2.0
154,646.0,3.0
155,602.0,4.0
156,611.0,1.0
